,Company,Availble Jobs,Average Salary,Rating,Total Reviews
429,Tech Mahindra,432,2.8L,3.4,(42k)
430,Genpact,371,2.3L,3.6,(40.4k)
431,Teleperformance,850,95.1k,3.8,(36.2k)
432,Axis Bank,219,1L,3.6,(32k)
433,Jio,3,62.2k,4.3,(31.5k)
434,Concentrix Corporation,73,1.3L,3.6,(31.3k)
435,Amazon,1.4k,1.4L,3.9,(30.4k)
436,iEnergizer,72,23.9k,4.6,(27.3k)
437,Reliance Retail,33,74.3k,3.9,(26.8k)
438,IBM,2.6k,2.1L,3.9,(25.2k)
439,LTIMindtree,474,1.9L,3.6,(25.2k)
440,TCS,3k,9.6L,3.4,(1.1L)
441,Accenture,32.5k,6.4L,3.7,(70.5k)
442,Wipro,5.6k,4.7L,3.6,(62.6k)
443,Cognizant,836,5.9L,3.6,(59.5k)
444,Capgemini,2.1k,4.7L,3.7,(51.1k)
445,HDFC Bank,198,1.5L,3.8,(50k)
446,Infosys,2.9k,5.1L,3.5,(46.8k)
447,ICICI Bank,32,1.5L,4.0,(44.9k)
448,HCLTech,282,3.7L,3.4,(44k)
449,Tech Mahindra,432,2.8L,3.4,(42k)
450,Genpact,371,2.3L,3.6,(40.4k)
451,Teleperformance,850,95.1k,3.8,(36.2k)
452,Axis Bank,219,1L,3.6,(32k)
453,Jio,3,62.2k,4.3,(31.5k)
454,Concentrix Corporation,73,1.3L,3.6,(31.3k)
455,Amazon,1.4k,1.4L,3.9,(30.4k)
456,iEnergizer,72,23.9k,4.6,(27.3k)
457,Reliance Retail,33,74.3k,3.9,(26.8k)
458,IBM,2.6k,2.1L,3.9,(25.2k)
459,LTIMindtree,474,1.9L,3.6,(25.2k)
460,TCS,3k,9.6L,3.4,(1.1L)
461,Accenture,32.5k,6.4L,3.7,(70.5k)
462,Wipro,5.6k,4.7L,3.6,(62.6k)
463,Cognizant,836,5.9L,3.6,(59.5k)
464,Capgemini,2.1k,4.7L,3.7,(51.1k)
465,HDFC Bank,198,1.5L,3.8,(50k)
466,Infosys,2.9k,5.1L,3.5,(46.8k)
467,ICICI Bank,32,1.5L,4.0,(44.9k)
468,HCLTech,282,3.7L,3.4,(44k)
469,Tech Mahindra,432,2.8L,3.4,(42k)
470,Genpact,371,2.3L,3.6,(40.4k)
471,Teleperformance,850,95.1k,3.8,(36.2k)
472,Axis Bank,219,1L,3.6,(32k)
473,Jio,3,62.2k,4.3,(31.5k)
474,Concentrix Corporation,73,1.3L,3.6,(31.3k)
475,Amazon,1.4k,1.4L,3.9,(30.4k)
476,iEnergizer,72,23.9k,4.6,(27.3k)
477,Reliance Retail,33,74.3k,3.9,(26.8k)
478,IBM,2.6k,2.1L,3.9,(25.2k)
479,LTIMindtree,474,1.9L,3.6,(25.2k)
480,TCS,3k,9.6L,3.4,(1.1L)
